date,user,location,text
2023-03-07 21:33:27+00:00,endofbellcurve,"England, United Kingdom","RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:31:37+00:00,msmousse1,Plague Island,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:31:19+00:00,speirs_cathy,Wisconsin ,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:30:19+00:00,Saffiya_Khan1,,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:28:36+00:00,Lonewolf334733,United States,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:26:03+00:00,SNHDinfo,"Las Vegas, Nevada",Protect yourself and your family from more than the wild Las Vegas weather. Get your updated COVID-19 vaccine today… https://t.co/TWC1VtM9Lo
2023-03-07 21:25:54+00:00,xoxotheRose,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:23:10+00:00,hotperedo,,Never in Vaccine history have 57 leading scientists and policy experts released a report questioning the safety and… https://t.co/YzdVtLOf7i
2023-03-07 21:22:12+00:00,ncdhhs,"Raleigh, NC","#COVID19 cases continue to rise and fall. It's important to keep track of all health information, from a health car… https://t.co/HSkBPt5e2b"
2023-03-07 21:20:26+00:00,Elizabeth0821ai,Canada,"RT @TOPublicHealth: If your child had #COVID19, it's still recommended they get the vaccine for stronger protection!

Starting March 9, the…"
2023-03-07 21:20:20+00:00,caroleevans,Ipswich,RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 21:13:28+00:00,politicgem,Surrey UK,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:12:27+00:00,kasiamalami11,,RT @backtolife_2023: Mother expresses relief after children receive Covid19 vaccine https://t.co/idO3vG4MOu
2023-03-07 21:10:40+00:00,MiamiDadeMso,"Miami Dade, FL",RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 21:09:43+00:00,npeimbert,United States,Great insights by @gavi @GaviSeth on the lessons learned around vaccine equity + development capacity during the… https://t.co/kDHUC3EgoA
2023-03-07 21:08:14+00:00,GinsbergHarold,Northern Mariana Islands,"RT @real_GGoswami: In this e-mail chain, Dept. reached out to .@facebook flagging a Facebook group where members shared their #COVID19 vacc…"
2023-03-07 21:07:41+00:00,KiwiCraig74,"Auckland, New Zealand","@Mettle2C @NZStuff Deaths from COVID. 
Explain how this is not correct (it would need to be if all the actual exces… https://t.co/WrcNYXKmZr"
2023-03-07 21:07:40+00:00,IDinChildren,"Thorofare, NJ",A longer interval between doses of COVID-19 vaccine in children aged 5 to 11 years was associated with higher effec… https://t.co/u1zwhs5nDr
2023-03-07 21:06:55+00:00,1800golfer,United States,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:02:06+00:00,manin_mo,,"RT @adamfeuerstein: FANTASTIC BREAKING NEWS: #Covid19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial i…"
2023-03-07 21:00:10+00:00,Anhaga9,,"RT @CFA_United: The CSU intends to lift the #COVID19 vaccine mandate for students, staff, and faculty. Faculty are encouraged to seek accom…"
2023-03-07 20:58:21+00:00,DCubler,phila,RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 20:57:57+00:00,HashtagFax,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 20:55:08+00:00,SunderlandLolly,"Sunderland, Plague Island","RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 20:55:02+00:00,cityoftoronto,Toronto ON Canada,"RT @TOPublicHealth: If your child had #COVID19, it's still recommended they get the vaccine for stronger protection!

Starting March 9, the…"
2023-03-07 20:52:53+00:00,benajamiboy,,RT @backtolife_2023: Mother expresses relief after children receive Covid19 vaccine https://t.co/idO3vG4MOu
2023-03-07 20:52:22+00:00,gumby4christ,STL,"Totura works in BARDA's Division of Nonclinical Development, which pumped ~$1 billion into pharma companies develop… https://t.co/nevkA8Jmpv"
2023-03-07 20:51:06+00:00,AZDHS,Arizona,"#DidYouKnow The COVID-19 bivalent booster is recommended for everyone ages 6 months and older? 

Ensure your child… https://t.co/O6SJ7FkVyj"
2023-03-07 20:50:50+00:00,SurfsBri,,"RT @RouxAugusto: On 05/27/2021, The Committee of Buenos Aires City, Capital of Argentina, revoked the license of Military Hospital Committe…"
2023-03-07 20:50:34+00:00,ChristineCeili,Dublin,"RT @susanmsmith: This is one of the key lessons of the #COVID19 pandemic - vaccine risks were socialised but profits were not
@AccessToMeds…"
2023-03-07 20:49:24+00:00,9Esuzi,,"RT @cotupacs: Imagine if we lived in a democracy where we could DEBATE fairly the risk benefit analysis of this kind offer?

Before the Gov…"
2023-03-07 20:47:59+00:00,mandelorean,CANADA,"@NeuroBlazeJP @Moosepiss1 @HuntersLaptop24 @thevivafrei @JustinTrudeau @DiedSuddenly_ ""blood clots, myocarditis and… https://t.co/8iQ6Il55Ys"
2023-03-07 20:47:52+00:00,deepend_ireland,Ireland,"RT @susanmsmith: This is one of the key lessons of the #COVID19 pandemic - vaccine risks were socialised but profits were not
@AccessToMeds…"
2023-03-07 20:47:31+00:00,susanmsmith,Dublin,This is one of the key lessons of the #COVID19 pandemic - vaccine risks were socialised but profits were not… https://t.co/GtdISvqh3v
2023-03-07 20:47:23+00:00,BrianMaynard32,Muskville,"RT @ccleighton: Hospitalization rates demonstrate Canada is still in a crisis whether we call it a pandemic or endemic #COVID19.

Pls expla…"
2023-03-07 20:46:57+00:00,nancygisselle2,,"RT @adamfeuerstein: FANTASTIC BREAKING NEWS: #Covid19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial i…"
2023-03-07 20:46:48+00:00,hanouf_rawdhan,,RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 20:43:38+00:00,annebarlow21,,"RT @cotupacs: Imagine if we lived in a democracy where we could DEBATE fairly the risk benefit analysis of this kind offer?

Before the Gov…"
2023-03-07 20:42:08+00:00,maartje_0,Nederland,RT @DrIanWeissman: A prominent group of nurses slammed a state plan to rollback masking and #COVID19 vaccine requirements in health care se…
2023-03-07 20:35:49+00:00,By_Grace_saved1,"Washington, USA",@DailyCaller @TuckerCarlson The covid19 vaccine works too haha
2023-03-07 20:34:56+00:00,fprusso73,"Padova, Veneto","RT @ElsevierNews: Results from new study in @JHEP_Reports highlight the need for #chronicliverdisease patients, particularly older and with…"
2023-03-07 20:26:46+00:00,jojo49547318,,"RT @real_GGoswami: In this e-mail chain, Dept. reached out to .@facebook flagging a Facebook group where members shared their #COVID19 vacc…"
2023-03-07 20:23:54+00:00,rejindra,"El Rio, CA",RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 20:22:23+00:00,TheNortherner99,Up North,"RT @cotupacs: Imagine if we lived in a democracy where we could DEBATE fairly the risk benefit analysis of this kind offer?

Before the Gov…"
2023-03-07 20:15:25+00:00,GloriaMark_PhD,"Irvine, CA",In our new paper in PNAS Nexus on Covid vaccine attitudes we found Liberal tweets rooted in moral foundations of ca… https://t.co/s9ADFfCbNK
2023-03-07 20:02:17+00:00,planetd1,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 20:00:16+00:00,Marni04529598,,"RT @cotupacs: Imagine if we lived in a democracy where we could DEBATE fairly the risk benefit analysis of this kind offer?

Before the Gov…"
2023-03-07 19:50:30+00:00,AJNovaScotia,Nova Scotia,"RT @cotupacs: Imagine if we lived in a democracy where we could DEBATE fairly the risk benefit analysis of this kind offer?

Before the Gov…"
2023-03-07 19:49:42+00:00,LizzieLouS2,,RT @TrialsiteN: COVID-19 Vaccine Injury Study Links mRNA Vaccines Trigger Autoimmune Diseases https://t.co/Sxnexup36Y #Covid #Covid19 #Covi…
2023-03-07 19:49:21+00:00,anbesi,Edinburgh,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 19:48:40+00:00,GHSupplyChain,"Arlington, VA","Reflecting on our history of increasing #COVID19 vaccine coverage, this #Namibia story tells how we built a special… https://t.co/Wh3MjmanSb"
2023-03-07 19:47:51+00:00,RussNic,,Universities END COVID19 Vaccine Mandates. https://t.co/TfGUt5i0HB
